Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[01/12/2018 15:30],47.17,47.17,56.30,56.30,59.10,47.17,43.47,
[01/12/2018 16:00],59.92,56.71,78.41,78.41,113.40,60.71,43.42,
[01/12/2018 16:30],59.92,56.71,78.41,78.41,113.40,60.71,43.42,
[01/12/2018 17:00],61.21,59.55,86.99,86.99,156.00,45.18,42.97,
[01/12/2018 17:30],61.21,59.55,86.99,86.99,156.00,45.18,42.97,
[01/12/2018 18:00],61.56,59.50,78.45,78.45,129.20,42.69,41.33,
[01/12/2018 18:30],61.56,59.50,78.45,78.45,129.20,42.69,41.33,
[01/12/2018 19:00],48.13,47.03,61.99,61.99,66.50,41.79,40.45,
[01/12/2018 19:30],48.13,47.03,61.99,61.99,66.50,41.79,40.45,
[01/12/2018 20:00],38.35,36.07,59.58,59.58,61.00,45.18,40.34,
[01/12/2018 20:30],38.35,36.07,59.58,59.58,61.00,45.18,40.34,
[01/12/2018 21:00],51.19,50.31,59.26,59.26,60.70,40.82,39.52,
[01/12/2018 21:30],51.19,50.31,59.26,59.26,60.70,40.82,39.52,
[01/12/2018 22:00],64.90,53.30,54.79,54.79,56.10,40.30,39.07,
[01/12/2018 22:30],64.90,53.30,54.79,54.79,56.10,40.30,39.07,
[01/12/2018 23:00],45.41,43.43,67.96,67.96,71.30,40.39,39.11,
[01/12/2018 23:30],45.41,43.43,67.96,67.96,71.30,40.39,39.11,
[02/12/2018 00:00],45.84,37.39,65.93,65.93,62.80,38.88,38.82,
[02/12/2018 00:30],45.84,37.39,65.93,65.93,62.80,38.88,38.82,
[02/12/2018 01:00],39.59,33.14,63.93,63.93,61.10,40.39,39.09,
[02/12/2018 01:30],39.59,33.14,63.93,63.93,61.10,40.39,39.09,
[02/12/2018 02:00],41.72,31.53,57.93,57.93,55.10,40.39,39.09,
[02/12/2018 02:30],41.72,31.53,57.93,57.93,55.10,40.39,39.09,
[02/12/2018 03:00],35.41,27.46,53.86,53.86,51.30,38.52,38.44,
[02/12/2018 03:30],35.41,27.46,53.86,53.86,51.30,38.52,38.44,
[02/12/2018 04:00],33.46,26.39,48.92,48.92,46.60,36.43,37.63,
[02/12/2018 04:30],33.46,26.39,48.92,48.92,46.60,36.43,37.63,
[02/12/2018 05:00],35.03,25.73,46.70,46.70,44.50,39.39,38.13,
[02/12/2018 05:30],35.03,25.73,46.70,46.70,44.50,39.39,38.13,
[02/12/2018 06:00],36.69,29.28,44.00,44.00,41.90,40.31,39.02,
[02/12/2018 06:30],36.69,29.28,44.00,44.00,41.90,40.31,39.02,
[02/12/2018 07:00],42.29,34.15,49.97,49.97,47.60,46.35,39.48,
[02/12/2018 07:30],42.29,34.15,49.97,49.97,47.60,46.35,39.48,
[02/12/2018 08:00],45.77,41.62,50.50,50.50,48.10,49.02,40.20,
[02/12/2018 08:30],45.77,41.62,50.50,50.50,48.10,49.02,40.20,
[02/12/2018 09:00],52.10,44.39,64.80,64.80,61.80,55.75,40.99,
[02/12/2018 09:30],52.10,44.39,64.80,64.80,61.80,55.75,40.99,
[02/12/2018 10:00],55.92,48.29,64.00,64.00,62.50,59.94,41.30,
[02/12/2018 10:30],55.92,48.29,64.00,64.00,62.50,59.94,41.30,
[02/12/2018 11:00],54.89,47.79,61.26,61.26,60.20,59.47,41.31,
[02/12/2018 11:30],54.89,47.79,61.26,61.26,60.20,59.47,41.31,
[02/12/2018 12:00],54.04,47.77,60.90,60.90,62.40,59.11,41.34,
[02/12/2018 12:30],54.04,47.77,60.90,60.90,62.40,59.11,41.34,
[02/12/2018 13:00],48.06,42.55,54.86,54.86,56.20,53.26,41.05,
[02/12/2018 13:30],48.06,42.55,54.86,54.86,56.20,53.26,41.05,
[02/12/2018 14:00],45.67,41.10,54.17,54.17,55.50,50.59,41.49,
[02/12/2018 14:30],45.67,41.10,54.17,54.17,55.50,50.59,41.49,
[02/12/2018 15:00],47.47,41.18,54.80,54.80,56.10,53.19,41.97,
[02/12/2018 15:30],47.47,41.18,54.80,54.80,56.10,53.19,41.97,
[02/12/2018 16:00],59.75,47.79,77.60,77.60,79.50,68.35,42.21,
[02/12/2018 16:30],59.75,47.79,77.60,77.60,79.50,68.35,42.21,
[02/12/2018 17:00],59.82,50.79,84.00,84.00,90.10,66.48,42.05,
[02/12/2018 17:30],59.82,50.79,84.00,84.00,90.10,66.48,42.05,
[02/12/2018 18:00],72.62,52.40,76.99,76.99,80.80,53.17,41.45,
[02/12/2018 18:30],72.62,52.40,76.99,76.99,80.80,53.17,41.45,
[02/12/2018 19:00],52.16,44.46,73.99,73.99,77.60,47.93,40.71,
[02/12/2018 19:30],52.16,44.46,73.99,73.99,77.60,47.93,40.71,
[02/12/2018 20:00],52.10,42.04,60.60,60.60,63.60,51.48,40.03,
[02/12/2018 20:30],52.10,42.04,60.60,60.60,63.60,51.48,40.03,
[02/12/2018 21:00],51.33,41.41,54.78,54.78,56.10,45.71,39.91,
[02/12/2018 21:30],51.33,41.41,54.78,54.78,56.10,45.71,39.91,
[02/12/2018 22:00],41.89,47.16,48.24,48.24,50.60,35.77,38.64,
[02/12/2018 22:30],41.89,47.16,48.24,48.24,50.60,35.77,38.64,
[02/12/2018 23:00],38.10,33.98,52.79,52.79,54.10,43.94,38.63,
[02/12/2018 23:30],38.10,33.98,52.79,52.79,54.10,43.94,38.63,
[03/12/2018 00:00],28.24,25.44,55.00,55.00,56.30,32.24,37.36,
[03/12/2018 00:30],28.24,25.44,55.00,55.00,56.30,32.24,37.36,
[03/12/2018 01:00],25.84,24.41,53.96,53.96,55.30,35.46,36.63,
[03/12/2018 01:30],25.84,24.41,53.96,53.96,55.30,35.46,36.63,
[03/12/2018 02:00],24.46,23.57,50.25,50.25,54.10,35.24,36.40,
[03/12/2018 02:30],24.46,23.57,50.25,50.25,54.10,35.24,36.40,
[03/12/2018 03:00],19.29,18.80,47.92,47.92,53.10,21.38,37.43,
[03/12/2018 03:30],19.29,18.80,47.92,47.92,53.10,21.38,37.43,
[03/12/2018 04:00],28.07,27.75,50.00,50.00,53.10,26.88,40.18,
[03/12/2018 04:30],28.07,27.75,50.00,50.00,53.10,26.88,40.18,
[03/12/2018 05:00],52.09,48.41,53.91,53.91,56.20,52.09,42.46,
[03/12/2018 05:30],52.09,48.41,53.91,53.91,56.20,52.09,42.46,
[03/12/2018 06:00],65.76,57.75,66.70,66.70,58.60,62.45,44.54,
[03/12/2018 06:30],65.76,57.75,66.70,66.70,58.60,62.45,44.54,
[03/12/2018 07:00],61.74,55.81,56.87,56.87,66.90,55.41,45.46,
[03/12/2018 07:30],61.74,55.81,56.87,56.87,66.90,55.41,45.46,
[03/12/2018 08:00],63.38,55.86,56.93,56.93,62.10,55.47,44.55,
[03/12/2018 08:30],63.38,55.86,56.93,56.93,62.10,55.47,44.55,
[03/12/2018 09:00],57.55,50.74,61.70,61.70,93.30,53.40,44.17,
[03/12/2018 09:30],57.55,50.74,61.70,61.70,93.30,53.40,44.17,
[03/12/2018 10:00],62.75,53.44,56.96,56.96,79.30,53.45,43.92,
[03/12/2018 10:30],62.75,53.44,56.96,56.96,79.30,53.45,43.92,
[03/12/2018 11:00],57.55,52.01,61.00,61.00,79.80,54.67,43.83,
[03/12/2018 11:30],57.55,52.01,61.00,61.00,79.80,54.67,43.83,
[03/12/2018 12:00],57.55,50.74,69.95,69.95,88.60,57.74,43.95,
[03/12/2018 12:30],57.55,50.74,69.95,69.95,88.60,57.74,43.95,
[03/12/2018 13:00],52.47,48.19,67.37,67.37,70.70,52.66,44.27,
[03/12/2018 13:30],52.47,48.19,67.37,67.37,70.70,52.66,44.27,
[03/12/2018 14:00],57.55,53.40,63.30,63.30,70.70,57.55,44.61,
[03/12/2018 14:30],57.55,53.40,63.30,63.30,70.70,57.55,44.61,
[03/12/2018 15:00],57.55,51.70,61.11,61.11,95.00,59.55,45.02,
[03/12/2018 15:30],57.55,51.70,61.11,61.11,95.00,59.55,45.02,
[03/12/2018 16:00],70.24,61.32,81.69,81.69,150.80,76.52,45.04,
[03/12/2018 16:30],70.24,61.32,81.69,81.69,150.80,76.52,45.04,
[03/12/2018 17:00],66.98,62.50,88.99,88.99,250.00,69.04,44.56,
[03/12/2018 17:30],66.98,62.50,88.99,88.99,250.00,69.04,44.56,
[03/12/2018 18:00],69.58,62.36,80.92,80.92,250.00,71.27,44.25,
[03/12/2018 18:30],69.58,62.36,80.92,80.92,250.00,71.27,44.25,
[03/12/2018 19:00],62.20,56.18,76.00,76.00,142.00,63.98,43.59,
[03/12/2018 19:30],62.20,56.18,76.00,76.00,142.00,63.98,43.59,
[03/12/2018 20:00],52.47,47.47,59.80,59.80,109.10,54.43,42.37,
[03/12/2018 20:30],52.47,47.47,59.80,59.80,109.10,54.43,42.37,
[03/12/2018 21:00],48.64,44.67,61.96,61.96,70.70,48.11,41.01,
[03/12/2018 21:30],48.64,44.67,61.96,61.96,70.70,48.11,41.01,
[03/12/2018 22:00],52.47,45.03,55.95,55.95,62.00,45.79,39.83,
[03/12/2018 22:30],52.47,45.03,55.95,55.95,62.00,45.79,39.83,
[03/12/2018 23:00],39.38,45.29,54.92,54.92,61.10,38.93,37.69,
[03/12/2018 23:30],39.38,45.29,54.92,54.92,61.10,38.93,37.69,
[04/12/2018 00:00],33.79,32.55,57.10,57.10,59.90,38.80,37.56,
[04/12/2018 00:30],33.79,32.55,57.10,57.10,59.90,38.80,37.56,
[04/12/2018 01:00],35.00,32.31,57.33,57.33,58.70,40.01,37.74,
[04/12/2018 01:30],35.00,32.31,57.33,57.33,58.70,40.01,37.74,
[04/12/2018 02:00],33.53,30.42,54.08,54.08,56.70,39.78,37.69,
[04/12/2018 02:30],33.53,30.42,54.08,54.08,56.70,39.78,37.69,
[04/12/2018 03:00],35.56,33.04,53.73,53.73,56.40,41.12,37.13,
[04/12/2018 03:30],35.56,33.04,53.73,53.73,56.40,41.12,37.13,
[04/12/2018 04:00],43.80,41.53,54.00,54.00,56.70,43.80,39.06,
[04/12/2018 04:30],43.80,41.53,54.00,54.00,56.70,43.80,39.06,
[04/12/2018 05:00],51.71,49.06,55.98,55.98,58.20,49.06,41.59,
[04/12/2018 05:30],51.71,49.06,55.98,55.98,58.20,49.06,41.59,
[04/12/2018 06:00],79.44,61.47,63.24,63.24,59.30,61.55,43.01,
[04/12/2018 06:30],79.44,61.47,63.24,63.24,59.30,61.55,43.01,
[04/12/2018 07:00],76.37,62.99,68.03,68.03,78.40,66.20,43.57,
[04/12/2018 07:30],76.37,62.99,68.03,68.03,78.40,66.20,43.57,
[04/12/2018 08:00],79.33,62.15,72.00,72.00,98.00,70.08,43.33,
[04/12/2018 08:30],79.33,62.15,72.00,72.00,98.00,70.08,43.33,
[04/12/2018 09:00],78.94,61.37,73.00,73.00,131.00,71.05,42.77,
[04/12/2018 09:30],78.94,61.37,73.00,73.00,131.00,71.05,42.77,
[04/12/2018 10:00],80.36,61.36,67.00,67.00,110.00,65.21,41.95,
[04/12/2018 10:30],80.36,61.36,67.00,67.00,110.00,65.21,41.95,
[04/12/2018 11:00],78.08,60.43,61.66,61.66,108.50,62.35,41.58,
[04/12/2018 11:30],78.08,60.43,61.66,61.66,108.50,62.35,41.58,
[04/12/2018 12:00],78.51,60.22,65.10,65.10,108.50,64.76,42.08,
[04/12/2018 12:30],78.51,60.22,65.10,65.10,108.50,64.76,42.08,
[04/12/2018 13:00],75.82,60.66,67.77,67.77,71.10,70.09,42.64,
[04/12/2018 13:30],75.82,60.66,67.77,67.77,71.10,70.09,42.64,
[04/12/2018 14:00],66.99,61.23,70.24,70.24,73.70,68.36,42.88,
[04/12/2018 14:30],66.99,61.23,70.24,70.24,73.70,68.36,42.88,
[04/12/2018 15:00],70.82,64.95,78.99,78.99,82.90,76.88,43.62,
[04/12/2018 15:30],70.82,64.95,78.99,78.99,82.90,76.88,43.62,
[04/12/2018 16:00],80.72,64.25,127.37,127.37,133.60,78.14,43.98,
[04/12/2018 16:30],80.72,64.25,127.37,127.37,133.60,78.14,43.98,
[04/12/2018 17:00],67.26,65.99,140.00,140.00,146.90,68.76,43.74,
[04/12/2018 17:30],67.26,65.99,140.00,140.00,146.90,68.76,43.74,
[04/12/2018 18:00],64.58,63.71,91.80,91.80,103.20,65.72,43.73,
[04/12/2018 18:30],64.58,63.71,91.80,91.80,103.20,65.72,43.73,
[04/12/2018 19:00],60.78,60.78,78.60,78.60,80.50,60.78,43.04,
[04/12/2018 19:30],60.78,60.78,78.60,78.60,80.50,60.78,43.04,
[04/12/2018 20:00],54.32,54.32,64.70,64.70,66.30,54.32,42.36,
[04/12/2018 20:30],54.32,54.32,64.70,64.70,66.30,54.32,42.36,
[04/12/2018 21:00],57.16,51.99,61.09,61.09,60.90,48.05,41.25,
[04/12/2018 21:30],57.16,51.99,61.09,61.09,60.90,48.05,41.25,
[04/12/2018 22:00],54.32,49.82,54.37,54.37,56.70,45.62,40.29,
[04/12/2018 22:30],54.32,49.82,54.37,54.37,56.70,45.62,40.29,
[04/12/2018 23:00],43.44,43.44,57.88,57.88,55.17,43.44,41.04,
[04/12/2018 23:30],43.44,43.44,57.88,57.88,55.17,43.44,41.04,
[05/12/2018 00:00],41.80,41.80,57.88,57.88,55.17,41.80,40.80,
[05/12/2018 00:30],41.80,41.80,57.88,57.88,55.17,41.80,40.80,
[05/12/2018 01:00],41.94,41.94,56.98,56.98,54.31,41.94,40.90,
[05/12/2018 01:30],41.94,41.94,56.98,56.98,54.31,41.94,40.90,
[05/12/2018 02:00],41.25,41.25,52.50,52.50,50.04,41.25,40.79,
[05/12/2018 02:30],41.25,41.25,52.50,52.50,50.04,41.25,40.79,
[05/12/2018 03:00],41.92,41.92,51.41,51.41,49.00,41.92,40.97,
[05/12/2018 03:30],41.92,41.92,51.41,51.41,49.00,41.92,40.97,
[05/12/2018 04:00],41.92,41.92,51.07,51.07,49.00,41.92,42.12,
[05/12/2018 04:30],41.92,41.92,51.07,51.07,49.00,41.92,42.12,
[05/12/2018 05:00],50.82,50.82,52.06,52.06,50.83,50.82,45.08,
[05/12/2018 05:30],50.82,50.82,52.06,52.06,50.83,50.82,45.08,
[05/12/2018 06:00],59.68,59.68,58.34,58.34,55.61,59.68,46.77,
[05/12/2018 06:30],59.68,59.68,58.34,58.34,55.61,59.68,46.77,
[05/12/2018 07:00],62.27,62.27,61.98,61.98,60.58,62.27,52.54,
[05/12/2018 07:30],62.27,62.27,61.98,61.98,60.58,62.27,52.54,
[05/12/2018 08:00],60.70,60.70,62.17,62.17,63.68,60.70,51.98,
[05/12/2018 08:30],60.70,60.70,62.17,62.17,63.68,60.70,51.98,
[05/12/2018 09:00],61.13,61.13,62.62,62.62,65.45,61.13,48.59,
[05/12/2018 09:30],61.13,61.13,62.62,62.62,65.45,61.13,48.59,
[05/12/2018 10:00],61.25,61.25,62.74,62.74,65.82,61.25,47.24,
[05/12/2018 10:30],61.25,61.25,62.74,62.74,65.82,61.25,47.24,
[05/12/2018 11:00],59.71,59.71,61.16,61.16,64.17,59.71,47.30,
[05/12/2018 11:30],59.71,59.71,61.16,61.16,64.17,59.71,47.30,
[05/12/2018 12:00],60.35,60.35,61.82,61.82,72.69,60.35,46.96,
[05/12/2018 12:30],60.35,60.35,61.82,61.82,72.69,60.35,46.96,
[05/12/2018 13:00],61.17,61.17,62.66,62.66,75.73,61.17,47.14,
[05/12/2018 13:30],61.17,61.17,62.66,62.66,75.73,61.17,47.14,
[05/12/2018 14:00],61.23,61.23,63.17,63.17,76.00,61.23,47.88,
[05/12/2018 14:30],61.23,61.23,63.17,63.17,76.00,61.23,47.88,
[05/12/2018 15:00],60.14,60.14,61.60,61.60,111.37,60.14,50.01,
[05/12/2018 15:30],60.14,60.14,61.60,61.60,111.37,60.14,50.01,
[05/12/2018 16:00],61.84,61.84,81.60,81.60,166.05,61.84,48.74,
[05/12/2018 16:30],61.84,61.84,81.60,81.60,166.05,61.84,48.74,
[05/12/2018 17:00],60.63,60.63,84.96,84.96,248.61,60.63,47.54,
[05/12/2018 17:30],60.63,60.63,84.96,84.96,248.61,60.63,47.54,
[05/12/2018 18:00],62.04,58.69,73.00,73.00,212.05,55.22,45.67,
[05/12/2018 18:30],62.04,58.69,73.00,73.00,212.05,55.22,45.67,
[05/12/2018 19:00],53.07,49.95,74.20,74.20,111.37,46.57,45.08,
[05/12/2018 19:30],53.07,49.95,74.20,74.20,111.37,46.57,45.08,
[05/12/2018 20:00],44.83,44.35,61.90,61.90,66.47,45.27,43.82,
[05/12/2018 20:30],44.83,44.35,61.90,61.90,66.47,45.27,43.82,
[05/12/2018 21:00],46.92,45.02,61.50,61.50,62.99,46.04,43.25,
[05/12/2018 21:30],46.92,45.02,61.50,61.50,62.99,46.04,43.25,
[05/12/2018 22:00],45.23,43.09,56.40,56.40,57.76,41.44,41.44,
[05/12/2018 22:30],45.23,43.09,56.40,56.40,57.76,41.44,41.44,
[05/12/2018 23:00],42.59,39.68,60.01,60.01,58.81,43.44,42.05,
[05/12/2018 23:30],42.59,39.68,60.01,60.01,58.81,43.44,42.05,
[06/12/2018 00:00],40.18,39.01,60.01,60.01,57.20,42.59,41.23,
[06/12/2018 00:30],40.18,39.01,60.01,60.01,57.20,42.59,41.23,
[06/12/2018 01:00],38.87,38.15,60.00,60.00,57.20,42.50,40.87,
[06/12/2018 01:30],38.87,38.15,60.00,60.00,57.20,42.50,40.87,
[06/12/2018 02:00],37.88,37.68,54.57,54.57,52.01,38.93,40.49,
[06/12/2018 02:30],37.88,37.68,54.57,54.57,52.01,38.93,40.49,
[06/12/2018 03:00],37.48,37.48,50.50,50.50,48.13,37.48,40.53,
[06/12/2018 03:30],37.48,37.48,50.50,50.50,48.13,37.48,40.53,
[06/12/2018 04:00],42.50,42.50,49.94,49.94,40.10,42.50,42.76,
[06/12/2018 04:30],42.50,42.50,49.94,49.94,40.10,42.50,42.76,
[06/12/2018 05:00],48.14,48.14,49.64,49.64,40.10,48.14,45.63,
[06/12/2018 05:30],48.14,48.14,49.64,49.64,40.10,48.14,45.63,
[06/12/2018 06:00],57.05,57.05,58.42,58.42,49.01,57.05,49.48,
[06/12/2018 06:30],57.05,57.05,58.42,58.42,49.01,57.05,49.48,
[06/12/2018 07:00],59.84,59.84,61.70,61.70,56.67,59.84,51.73,
[06/12/2018 07:30],59.84,59.84,61.70,61.70,56.67,59.84,51.73,
[06/12/2018 08:00],59.65,59.65,61.50,61.50,57.27,59.65,51.65,
[06/12/2018 08:30],59.65,59.65,61.50,61.50,57.27,59.65,51.65,
[06/12/2018 09:00],59.95,59.95,61.38,61.38,58.50,59.95,48.61,
[06/12/2018 09:30],59.95,59.95,61.38,61.38,58.50,59.95,48.61,
[06/12/2018 10:00],59.75,59.75,61.18,61.18,58.31,59.75,48.63,
[06/12/2018 10:30],59.75,59.75,61.18,61.18,58.31,59.75,48.63,
[06/12/2018 11:00],58.90,58.90,60.30,60.30,57.48,58.90,50.34,
[06/12/2018 11:30],58.90,58.90,60.30,60.30,57.48,58.90,50.34,
[06/12/2018 12:00],58.11,58.11,59.50,59.50,58.81,58.11,49.15,
[06/12/2018 12:30],58.11,58.11,59.50,59.50,58.81,58.11,49.15,
[06/12/2018 13:00],57.23,57.22,58.58,58.58,60.00,57.22,50.12,
[06/12/2018 13:30],57.23,57.22,58.58,58.58,60.00,57.22,50.12,
[06/12/2018 14:00],54.42,54.21,55.50,55.50,57.27,54.42,49.58,
[06/12/2018 14:30],54.42,54.21,55.50,55.50,57.27,54.42,49.58,
[06/12/2018 15:00],56.21,55.66,57.95,57.95,61.76,56.21,53.90,
[06/12/2018 15:30],56.21,55.66,57.95,57.95,61.76,56.21,53.90,
[06/12/2018 16:00],69.29,59.39,72.70,72.70,142.85,70.51,50.91,
[06/12/2018 16:30],69.29,59.39,72.70,72.70,142.85,70.51,50.91,
[06/12/2018 17:00],74.66,60.43,77.95,77.95,222.76,49.89,48.06,
[06/12/2018 17:30],74.66,60.43,77.95,77.95,222.76,49.89,48.06,
[06/12/2018 18:00],75.00,58.89,77.90,77.90,120.00,47.77,46.25,
[06/12/2018 18:30],75.00,58.89,77.90,77.90,120.00,47.77,46.25,
[06/12/2018 19:00],58.54,51.98,73.10,73.10,76.32,46.62,45.12,
[06/12/2018 19:30],58.54,51.98,73.10,73.10,76.32,46.62,45.12,
[06/12/2018 20:00],48.95,47.21,61.01,61.01,58.15,49.00,43.99,
[06/12/2018 20:30],48.95,47.21,61.01,61.01,58.15,49.00,43.99,
[06/12/2018 21:00],48.65,46.14,59.02,59.02,56.26,49.00,42.55,
[06/12/2018 21:30],48.65,46.14,59.02,59.02,56.26,49.00,42.55,
[06/12/2018 22:00],51.97,44.41,50.92,50.92,48.54,40.54,41.48,
[06/12/2018 22:30],51.97,44.41,50.92,50.92,48.54,40.54,41.48,
[06/12/2018 23:00],41.61,37.39,58.06,58.06,56.40,41.57,40.23,
[06/12/2018 23:30],41.61,37.39,58.06,58.06,56.40,41.57,40.23,
[07/12/2018 00:00],36.02,32.87,58.06,58.06,36.50,37.92,39.17,
[07/12/2018 00:30],36.02,32.87,58.06,58.06,36.50,37.92,39.17,
[07/12/2018 01:00],30.48,30.07,54.00,54.00,0.00,37.46,38.70,
[07/12/2018 01:30],30.48,30.07,54.00,54.00,0.00,37.46,38.70,
[07/12/2018 02:00],30.17,28.62,39.99,39.99,0.00,37.64,38.89,
[07/12/2018 02:30],30.17,28.62,39.99,39.99,0.00,37.64,38.89,
[07/12/2018 03:00],26.41,25.88,29.99,29.99,0.00,29.19,38.99,
[07/12/2018 03:30],26.41,25.88,29.99,29.99,0.00,29.19,38.99,
[07/12/2018 04:00],30.66,30.63,31.26,31.26,0.00,30.66,41.08,
[07/12/2018 04:30],30.66,30.63,31.26,31.26,0.00,30.66,41.08,
[07/12/2018 05:00],43.83,43.36,43.96,43.96,0.00,43.36,43.36,
[07/12/2018 05:30],43.83,43.36,43.96,43.96,0.00,43.36,43.36,
[07/12/2018 06:00],57.88,56.41,57.57,57.57,36.70,56.01,46.51,
[07/12/2018 06:30],57.88,56.41,57.57,57.57,36.70,56.01,46.51,
[07/12/2018 07:00],61.57,57.69,60.00,60.00,61.50,58.38,50.61,
[07/12/2018 07:30],61.57,57.69,60.00,60.00,61.50,58.38,50.61,
[07/12/2018 08:00],64.80,57.11,65.62,65.62,67.20,63.85,48.66,
[07/12/2018 08:30],64.80,57.11,65.62,65.62,67.20,63.85,48.66,
[07/12/2018 09:00],53.39,50.20,68.00,68.00,69.60,53.39,47.52,
[07/12/2018 09:30],53.39,50.20,68.00,68.00,69.60,53.39,47.52,
[07/12/2018 10:00],55.82,51.16,57.00,57.00,58.40,55.46,46.89,
[07/12/2018 10:30],55.82,51.16,57.00,57.00,58.40,55.46,46.89,
[07/12/2018 11:00],46.93,46.15,55.54,55.54,56.90,46.93,45.43,
[07/12/2018 11:30],46.93,46.15,55.54,55.54,56.90,46.93,45.43,
[07/12/2018 12:00],45.85,44.68,53.73,53.73,56.40,45.85,44.37,
[07/12/2018 12:30],45.85,44.68,53.73,53.73,56.40,45.85,44.37,
[07/12/2018 13:00],45.24,43.58,53.73,53.73,56.40,45.24,43.79,
[07/12/2018 13:30],45.24,43.58,53.73,53.73,56.40,45.24,43.79,
[07/12/2018 14:00],43.21,41.63,55.36,55.36,56.70,43.21,42.03,
[07/12/2018 14:30],43.21,41.63,55.36,55.36,56.70,43.21,42.03,
[07/12/2018 15:00],47.59,44.79,54.50,54.50,56.40,47.60,43.75,
[07/12/2018 15:30],47.59,44.79,54.50,54.50,56.40,47.60,43.75,
[07/12/2018 16:00],61.06,53.85,75.00,75.00,76.80,62.59,43.75,
[07/12/2018 16:30],61.06,53.85,75.00,75.00,76.80,62.59,43.75,
[07/12/2018 17:00],66.07,55.01,77.49,77.49,83.20,44.76,43.33,
[07/12/2018 17:30],66.07,55.01,77.49,77.49,83.20,44.76,43.33,
[07/12/2018 18:00],45.01,45.56,62.20,62.20,65.30,43.55,42.16,
[07/12/2018 18:30],45.01,45.56,62.20,62.20,65.30,43.55,42.16,
[07/12/2018 19:00],44.64,47.13,64.70,64.70,67.10,42.10,41.28,
[07/12/2018 19:30],44.64,47.13,64.70,64.70,67.10,42.10,41.28,
[07/12/2018 20:00],45.15,42.05,58.58,58.58,56.40,42.61,41.25,
[07/12/2018 20:30],45.15,42.05,58.58,58.58,56.40,42.61,41.25,
[07/12/2018 21:00],41.10,40.33,56.60,56.60,55.30,41.10,39.77,
[07/12/2018 21:30],41.10,40.33,56.60,56.60,55.30,41.10,39.77,
[07/12/2018 22:00],40.53,36.36,48.14,48.14,44.60,40.85,39.54,
[07/12/2018 22:30],40.53,36.36,48.14,48.14,44.60,40.85,39.54,
[07/12/2018 23:00],65.09,37.06,52.01,52.01,49.60,41.48,40.15,
[07/12/2018 23:30],65.09,37.06,52.01,52.01,49.60,41.48,40.15,
[08/12/2018 00:00],25.74,18.70,45.83,45.83,27.50,44.55,40.15,
[08/12/2018 00:30],25.74,18.70,45.83,45.83,27.50,44.55,40.15,
[08/12/2018 01:00],27.61,17.10,36.00,36.00,0.00,35.00,39.23,
[08/12/2018 01:30],27.61,17.10,36.00,36.00,0.00,35.00,39.23,
[08/12/2018 02:00],17.51,11.62,26.92,26.92,0.00,27.81,38.59,
[08/12/2018 02:30],17.51,11.62,26.92,26.92,0.00,27.81,38.59,
[08/12/2018 03:00],16.27,10.50,10.73,10.73,0.00,22.32,38.32,
[08/12/2018 03:30],16.27,10.50,10.73,10.73,0.00,22.32,38.32,
[08/12/2018 04:00],18.57,8.90,9.09,9.09,0.00,25.10,37.86,
[08/12/2018 04:30],18.57,8.90,9.09,9.09,0.00,25.10,37.86,
[08/12/2018 05:00],29.36,15.75,19.99,19.99,19.10,37.56,38.80,
[08/12/2018 05:30],29.36,15.75,19.99,19.99,19.10,37.56,38.80,
[08/12/2018 06:00],29.52,21.16,32.73,32.73,32.00,33.82,39.57,
[08/12/2018 06:30],29.52,21.16,32.73,32.73,32.00,33.82,39.57,
[08/12/2018 07:00],40.43,26.35,47.99,47.99,49.20,46.66,40.68,
[08/12/2018 07:30],40.43,26.35,47.99,47.99,49.20,46.66,40.68,
[08/12/2018 08:00],44.04,26.38,53.96,53.96,55.30,52.45,41.37,
[08/12/2018 08:30],44.04,26.38,53.96,53.96,55.30,52.45,41.37,
[08/12/2018 09:00],47.50,25.56,59.00,59.00,61.90,57.36,41.49,
[08/12/2018 09:30],47.50,25.56,59.00,59.00,61.90,57.36,41.49,
[08/12/2018 10:00],42.02,25.11,56.89,56.89,59.70,46.78,41.65,
[08/12/2018 10:30],42.02,25.11,56.89,56.89,59.70,46.78,41.65,
[08/12/2018 11:00],50.40,33.51,57.00,57.00,59.80,55.42,41.54,
[08/12/2018 11:30],50.40,33.51,57.00,57.00,59.80,55.42,41.54,
[08/12/2018 12:00],54.17,35.41,62.76,62.76,64.30,61.01,41.44,
[08/12/2018 12:30],54.17,35.41,62.76,62.76,64.30,61.01,41.44,
[08/12/2018 13:00],53.47,35.58,58.80,58.80,60.20,57.17,41.45,
[08/12/2018 13:30],53.47,35.58,58.80,58.80,60.20,57.17,41.45,
[08/12/2018 14:00],53.03,35.76,68.00,68.00,64.80,57.06,41.72,
[08/12/2018 14:30],53.03,35.76,68.00,68.00,64.80,57.06,41.72,
[08/12/2018 15:00],51.67,35.13,57.00,57.00,56.10,55.42,42.02,
